"Subject","Block","Trial","L_choice","R_choice","L_reward","R_reward","Sub_Choose","Frame","NetWorth","RT"
"2","2","3","D","B",-40,40,"B","Catch",536,2058
"2","2","4","D","C",-40,-36,"C","Loss",500,1613
"2","2","5","A","B",36,40,"A","Gain",536,1170
"2","2","6","C","D",-36,0,"C","Loss",500,1175
"2","2","7","A","B",36,40,"A","Gain",536,1814
"2","2","8","D","C",-40,-36,"C","Loss",500,2116
"2","2","9","A","B",36,40,"A","Gain",536,1596
"2","2","10","A","B",36,40,"A","Gain",572,1273
"2","2","11","C","D",-36,-40,"D","Loss",532,1900
"2","2","12","A","B",36,40,"A","Gain",568,1030
"2","2","13","D","C",-40,-36,"D","Loss",528,2266
"2","2","14","A","C",36,-36,"A","Catch",564,837
"2","2","15","B","A",40,36,"A","Gain",600,1017
"2","2","16","B","A",40,36,"A","Gain",636,1046
"2","2","17","A","B",36,40,"A","Gain",672,970
"2","2","18","D","B",-40,40,"B","Catch",712,4128
"2","2","19","C","D",-36,-40,"C","Loss",676,1945
"2","2","20","C","D",-36,-40,"C","Loss",640,1135
"2","2","21","B","C",40,-36,"B","Catch",680,1848
"2","2","22","A","B",36,40,"A","Gain",716,1099
"2","2","23","A","B",36,40,"A","Gain",752,1245
"2","2","24","D","C",0,-36,"C","Loss",716,1952
"2","2","25","A","B",36,40,"A","Gain",752,1456
"2","2","26","D","C",-40,-36,"C","Loss",716,1659
"2","2","27","C","D",-36,-40,"C","Loss",680,925
"2","2","28","D","C",-40,-36,"C","Loss",644,2966
"2","2","29","C","D",-36,-40,"D","Loss",604,3437
"2","2","30","D","C",-40,-36,"C","Loss",568,1209
"2","2","31","B","A",40,36,"A","Gain",604,1246
"2","2","32","B","A",40,36,"A","Gain",640,1673
"2","2","33","C","D",-36,-40,"C","Loss",604,1140
"2","2","34","B","A",0,36,"A","Gain",640,1020
"2","2","35","B","A",40,36,"A","Gain",676,897
"2","2","36","C","B",-36,40,"B","Catch",716,2363
"2","2","37","D","C",-40,-36,"C","Loss",680,2474
"2","2","38","D","C",-40,-36,"C","Loss",644,1685
"2","2","39","D","A",-40,36,"A","Catch",680,1046
"2","2","40","B","A",40,36,"A","Gain",716,890
"2","2","41","C","D",-36,-40,"C","Loss",680,2540
"2","2","42","C","D",-36,0,"C","Loss",644,1948
"2","2","43","C","A",-36,36,"A","Catch",680,1132
"2","2","44","A","B",36,40,"A","Gain",716,1620
"2","2","45","B","A",40,36,"A","Gain",752,2729
"2","2","46","B","D",0,-40,"B","Catch",752,1249
"2","2","47","D","C",-40,-36,"C","Loss",716,1197
"2","2","48","A","B",36,40,"B","Gain",756,882
"2","2","49","C","D",-36,-40,"C","Loss",720,1563
"2","2","50","A","D",36,-40,"A","Catch",756,1266
"2","2","51","B","A",0,36,"B","Gain",756,1397
"2","2","52","C","D",-36,-40,"C","Loss",720,3867
"2","2","53","A","B",36,40,"A","Gain",756,4710
"2","2","54","C","A",-36,36,"A","Catch",792,911
"2","2","55","D","C",-40,-36,"C","Loss",756,1120
"2","2","56","B","A",40,36,"B","Gain",796,1001
"2","2","57","D","C",-40,-36,"C","Loss",760,1150
"2","2","58","C","B",-36,40,"B","Catch",800,1686
"2","2","59","B","A",40,36,"B","Gain",840,895
"2","2","60","C","D",-36,-40,"C","Loss",804,1217
"2","3","1","C","D",-36,-40,"C","Loss",768,1356
"2","3","2","A","B",36,40,"B","Gain",808,1043
"2","3","3","C","B",-36,40,"B","Catch",848,1719
